subsystem,reaction
Fatty acid oxidation,r0444
Lysine metabolism,r0450
Nucleotide interconversion,DGNSK
Miscellaneous,r0466_1
Nucleotide interconversion,RNTR3
Nucleotide interconversion,RNTR4
Purine catabolism,XAND
Purine catabolism,XAO
Citric acid cycle,r0509
Miscellaneous,r0510
Folate metabolism,r0512
Miscellaneous,r0517
Folate metabolism,FTHFCLm
Lysine metabolism,r0525
NAD metabolism,NMNDA
Nucleotide interconversion,DUTCP
Taurine and hypotaurine metabolism,CYSAMO_cho
Tryptophan metabolism,r0541
Phenylalanine metabolism,ALDD19xr
Phenylalanine metabolism,ALDD19x_P
Miscellaneous,r0548
"Glycine, serine, alanine, and threonine metabolism",BETALDHy
Miscellaneous,r0555
"Valine, leucine, and isoleucine metabolism",r0560
"Valine, leucine, and isoleucine metabolism",DHRT_ibcoa
Cholesterol metabolism,r0575
CoA synthesis,APNPT
Miscellaneous,r0587
CoA synthesis,PTPATim
Methionine and cysteine metabolism,r0595
CoA synthesis,r0596
"Valine, leucine, and isoleucine metabolism",r0603
Miscellaneous,r0604
Miscellaneous,r0611
Arginine and proline metabolism,HPROym
Fatty acid oxidation,ACACT4m
Fatty acid oxidation,r0636
Fatty acid oxidation,ACOAR5m
Fatty acid oxidation,ACACT6m
Fatty acid oxidation,r0641
"Valine, leucine, and isoleucine metabolism",r0643
Miscellaneous,r0649_1
Bile acid synthesis,r0651
Fatty acid oxidation,r0652_1
"Valine, leucine, and isoleucine metabolism",r0655
Fatty acid oxidation,ECOAH5m
Tetrahydrobiopterin metabolism,r0673
Arginine and proline metabolism,r0686
Miscellaneous,r0707
Fatty acid oxidation,r0714_1
Fatty acid oxidation,r0715
Fatty acid oxidation,HACD6p
Fatty acid oxidation,r0720_1
Fatty acid oxidation,HACD5m
Fatty acid oxidation,HACD4m
Fatty acid oxidation,HACD4p
Fatty acid oxidation,ECOAH4m
Fatty acid oxidation,r0732
Fatty acid oxidation,r0733
Fatty acid oxidation,ACOAR4m
Bile acid synthesis,r0739
Bile acid synthesis,r0741
Bile acid synthesis,r0747
Miscellaneous,r0752
Miscellaneous,r0753
Miscellaneous,r0754
Miscellaneous,r0757
Tryptophan metabolism,5HOXINDACTOX
Miscellaneous,r0779
Cholesterol metabolism,r0783
Fatty acid oxidation,ACOAR2m
Miscellaneous,r0795
Pentose phosphate pathway,r0796
"Transport, extracellular",r0813
"Transport, extracellular",r0817
Pyruvate metabolism,r0818
"Transport, mitochondrial",SUCFUMtm
"Transport, endoplasmic reticular",r0826
"Transport, mitochondrial",r0834
"Transport, mitochondrial",r0835
"Transport, mitochondrial",NH4tm
Purine catabolism,r0853
Purine catabolism,r0860
"Transport, extracellular",r0871
"Transport, extracellular",r0879
"Transport, extracellular",r0881
"Transport, endoplasmic reticular",r0886
"Transport, mitochondrial",r0911
"Transport, mitochondrial",CITtcm
"Transport, mitochondrial",r0927
"Transport, endoplasmic reticular",r0931
"Transport, peroxisomal",r0934
"Transport, extracellular",r0946
"Transport, mitochondrial",r0950
"Transport, extracellular",r0961
"Transport, endoplasmic reticular",r0968
"Transport, endoplasmic reticular",r0970
"Transport, mitochondrial",r0973
"Transport, extracellular",PNTOt4
"Transport, peroxisomal",r0990
"Transport, extracellular",r0993
"Transport, endoplasmic reticular",r0995
"Transport, endoplasmic reticular",r0998
"Transport, peroxisomal",r0999
"Transport, endoplasmic reticular",r1000
"Transport, peroxisomal",r1006
"Transport, endoplasmic reticular",r1011
"Transport, peroxisomal",r1012
"Transport, extracellular",r1015
"Transport, endoplasmic reticular",r1018
"Transport, peroxisomal",r1019
"Transport, mitochondrial",r1020
"Transport, endoplasmic reticular",r1024
Bile acid synthesis,r1025
"Transport, extracellular",r1026
"Transport, extracellular",r1030
"Transport, extracellular",CHOLESTTDe
"Transport, lysosomal",r1052
"Transport, mitochondrial",r1078
"Transport, extracellular",r1106
Miscellaneous,r1109
"Transport, extracellular",r1116
Miscellaneous,r1135
"Transport, mitochondrial",r1146
"Transport, peroxisomal",AKGICITtm
Propanoate metabolism,OBDHm
Nucleotide interconversion,DUTUP
"Transport, endoplasmic reticular",r1159
Miscellaneous,r1165
Miscellaneous,r1166
Miscellaneous,r1168
Miscellaneous,r1169
Miscellaneous,r1171
Miscellaneous,r1172
Miscellaneous,r1174
Miscellaneous,r1181
Miscellaneous,r1183
Fatty acid oxidation,r1255
Fatty acid oxidation,r1257
Fatty acid oxidation,r1259
"Transport, lysosomal",r1299
"Transport, lysosomal",r1301
"Transport, lysosomal",r1302
"Transport, endoplasmic reticular",r1303
"Transport, endoplasmic reticular",r1318
"Transport, lysosomal",r1367
"Transport, lysosomal",r1368
Miscellaneous,r1377
Cholesterol metabolism,r1380
Miscellaneous,r1391
Fatty acid oxidation,r1401
Miscellaneous,r1411
"Transport, mitochondrial",HISt2m
"Transport, peroxisomal",GLY3Pt
"Transport, mitochondrial",METtm
"Transport, mitochondrial",thr_mt
Fatty acid oxidation,r1444
Miscellaneous,r1446
Fatty acid oxidation,r1447
Fatty acid oxidation,r1451
"Transport, mitochondrial",r1454
Sphingolipid metabolism,r1457
"Transport, nuclear",r1459
Fatty acid oxidation,r1472
Fatty acid oxidation,r1474
Fatty acid oxidation,r1477
Fatty acid oxidation,r1481
"Transport, extracellular",r1500
"Transport, extracellular",r1501
"Transport, extracellular",r1512
"Transport, extracellular",r1514
"Transport, extracellular",r1516
"Transport, extracellular",r1517
"Transport, extracellular",r1521
"Transport, extracellular",r1522
"Transport, extracellular",r1523
"Transport, extracellular",r1527
"Transport, extracellular",r1529
"Transport, extracellular",r1532_1
"Transport, extracellular",HCO3_2NAt
"Transport, extracellular",r1544
"Transport, extracellular",r1546
"Transport, extracellular",r1551
"Transport, extracellular",r1559
"Transport, extracellular",r1563
"Transport, extracellular",r1566
"Transport, extracellular",r1569
"Transport, extracellular",r1570
"Transport, extracellular",r1573
"Transport, extracellular",r1574
"Transport, extracellular",r1575
"Transport, extracellular",r1576
"Transport, extracellular",r1580
"Transport, extracellular",r1583
"Transport, extracellular",r1592
"Transport, extracellular",r1596
"Transport, extracellular",r1598
"Transport, extracellular",r1599
"Transport, extracellular",r1600
"Transport, extracellular",r1602
"Transport, extracellular",r1605
"Transport, extracellular",r1606
"Transport, extracellular",r1607
"Transport, extracellular",r1608
"Transport, extracellular",r1609
"Transport, extracellular",r1614
"Transport, extracellular",LEUPHELAT2tc
"Transport, extracellular",r1625
"Transport, extracellular",r1627
"Transport, extracellular",r1628
"Transport, extracellular",r1633
"Transport, extracellular",r1635
"Transport, extracellular",r1636
"Transport, extracellular",r1638
"Transport, extracellular",r1639
"Transport, extracellular",r1640
"Transport, extracellular",r1642
"Transport, extracellular",r1643
"Transport, extracellular",VALLAT1tc
"Transport, extracellular",r1646
"Transport, extracellular",r1650
"Transport, extracellular",r1651
"Transport, extracellular",r1653
"Transport, extracellular",r1654
"Transport, extracellular",r1655
"Transport, extracellular",r1656
"Transport, extracellular",r1658
"Transport, extracellular",r1660
"Transport, extracellular",r1662
"Transport, extracellular",r1664
"Transport, extracellular",r1665
"Transport, extracellular",r1668
"Transport, extracellular",r1669
"Transport, extracellular",r1670
"Transport, extracellular",r1672
"Transport, extracellular",r1675
"Transport, extracellular",r1677
"Transport, extracellular",r1679
"Transport, extracellular",r1681
"Transport, extracellular",r1682
"Transport, extracellular",r1683
"Transport, extracellular",r1684
"Transport, extracellular",r1687
"Transport, extracellular",r1690
"Transport, extracellular",r1691
"Transport, extracellular",r1695
"Transport, extracellular",r1698
"Transport, extracellular",r1702
"Transport, extracellular",r1708
"Transport, extracellular",r1711
"Transport, extracellular",r1713
"Transport, extracellular",r1715
"Transport, extracellular",r1716
"Transport, extracellular",r1720
"Transport, extracellular",r1721
"Transport, extracellular",r1725
"Transport, extracellular",r1728
"Transport, extracellular",r1730
"Transport, extracellular",r1733
"Transport, extracellular",r1734
"Transport, extracellular",r1735
"Transport, extracellular",r1737
"Transport, extracellular",r1738
"Transport, extracellular",r1739
"Transport, extracellular",r1740
"Transport, extracellular",r1741
"Transport, extracellular",r1742
"Transport, extracellular",r1743
"Transport, extracellular",r1749
"Transport, extracellular",r1751
"Transport, extracellular",r1756
"Transport, extracellular",r1757
"Transport, extracellular",r1759
"Transport, extracellular",r1760
"Transport, extracellular",r1761
"Transport, extracellular",r1765
"Transport, extracellular",r1767
"Transport, extracellular",r1769
"Transport, extracellular",r1770
"Transport, extracellular",r1772
"Transport, extracellular",r1773
"Transport, extracellular",r1775
"Transport, extracellular",r1776
"Transport, extracellular",r1777
"Transport, extracellular",r1780
"Transport, extracellular",r1782
"Transport, extracellular",r1785
"Transport, extracellular",r1787
"Transport, extracellular",r1788
"Transport, extracellular",r1800
"Transport, extracellular",r1801
"Transport, extracellular",r1803
"Transport, extracellular",r1807
"Transport, extracellular",r1808
"Transport, extracellular",r1810
"Transport, extracellular",r1812
"Transport, extracellular",r1813
"Transport, extracellular",r1815
"Transport, extracellular",r1816
"Transport, extracellular",r1819
"Transport, extracellular",r1825
"Transport, extracellular",r1826
"Transport, extracellular",r1828
"Transport, extracellular",r1831
"Transport, extracellular",r1834
"Transport, extracellular",r1835
"Transport, extracellular",r1843
"Transport, extracellular",r1844
"Transport, extracellular",r1850
"Transport, extracellular",r1852
"Transport, extracellular",r1856
"Transport, extracellular",r1859
"Transport, extracellular",r1862
"Transport, extracellular",r1863
"Transport, extracellular",r1866
"Transport, extracellular",r1871
"Transport, extracellular",r1872
"Transport, extracellular",r1873
"Transport, extracellular",r1879
"Transport, extracellular",r1883
"Transport, extracellular",r1884
"Transport, extracellular",r1886
"Transport, extracellular",r1888
"Transport, extracellular",r1891
"Transport, extracellular",r1894
"Transport, extracellular",r1895
"Transport, extracellular",r1896
"Transport, extracellular",r1897
"Transport, extracellular",r1902
"Transport, extracellular",r1906
"Transport, extracellular",r1909
"Transport, extracellular",r1911
"Transport, extracellular",r1913
"Transport, extracellular",r1914
"Transport, extracellular",r1915
"Transport, extracellular",r1917
"Transport, extracellular",r1919
"Transport, extracellular",r1922
"Transport, extracellular",r1923
"Transport, extracellular",r1924
"Transport, extracellular",r1926
"Transport, extracellular",r1929
"Transport, extracellular",r1930
"Transport, extracellular",r1931
"Transport, extracellular",r1933
"Transport, extracellular",r1934
"Transport, extracellular",r1936
"Transport, extracellular",r1937
"Transport, extracellular",r1938
"Transport, extracellular",r1939
"Transport, extracellular",r1941
"Transport, extracellular",r1942
"Transport, extracellular",r1943
"Transport, extracellular",r1946
"Transport, extracellular",r1947
"Transport, extracellular",r1950
"Transport, extracellular",r1952
"Transport, extracellular",r1953
"Transport, extracellular",r1955
"Transport, extracellular",r1956
"Transport, extracellular",r1958
"Transport, extracellular",r1959
"Transport, extracellular",r1960
"Transport, extracellular",r1966
"Transport, extracellular",r1968
"Transport, extracellular",r1969
"Transport, extracellular",r1971
"Transport, extracellular",r1973
"Transport, extracellular",r1975
"Transport, extracellular",r1977
"Transport, extracellular",r1978
"Transport, extracellular",r1979
"Transport, extracellular",r1982
"Transport, extracellular",r1988
"Transport, extracellular",r1990
"Transport, extracellular",r1991
"Transport, extracellular",r1992
"Transport, extracellular",r1993
"Transport, extracellular",r1994
"Transport, extracellular",r1995
"Transport, extracellular",r1996
"Transport, extracellular",r1998
"Transport, extracellular",r1999
"Transport, extracellular",r2002
"Transport, extracellular",r2006
"Transport, extracellular",r2008
"Transport, extracellular",r2009
"Transport, extracellular",r2010
"Transport, extracellular",r2012
"Transport, extracellular",r2015
"Transport, extracellular",r2019
"Transport, extracellular",r2020
"Transport, extracellular",r2022
"Transport, extracellular",r2024
"Transport, extracellular",r2027
"Transport, extracellular",r2028
"Transport, extracellular",r2029
"Transport, extracellular",r2034
"Transport, extracellular",r2037
"Transport, extracellular",r2042
"Transport, extracellular",r2043
"Transport, extracellular",r2044
"Transport, extracellular",r2045
"Transport, extracellular",r2052
"Transport, extracellular",r2053
"Transport, extracellular",r2054
"Transport, extracellular",r2057
"Transport, extracellular",r2059
"Transport, extracellular",r2061
"Transport, extracellular",r2062
"Transport, extracellular",r2064
"Transport, extracellular",r2066
"Transport, extracellular",r2069
"Transport, extracellular",r2070
"Transport, extracellular",r2079
"Transport, extracellular",r2082
"Transport, extracellular",r2083
"Transport, extracellular",r2091
"Transport, extracellular",r2095
"Transport, extracellular",r2097
"Transport, extracellular",r2098
"Transport, extracellular",r2099
"Transport, extracellular",r2102
"Transport, extracellular",r2103
"Transport, extracellular",r2105
"Transport, extracellular",r2107
"Transport, extracellular",r2109
"Transport, extracellular",r2110
"Transport, extracellular",r2112
"Transport, extracellular",r2116
"Transport, extracellular",r2117
"Transport, extracellular",r2118
"Transport, extracellular",r2119
"Transport, extracellular",r2124
"Transport, extracellular",r2127
"Transport, extracellular",r2128
"Transport, extracellular",r2129
"Transport, extracellular",r2131
"Transport, extracellular",r2132
"Transport, extracellular",r2136
"Transport, extracellular",r2140
"Transport, extracellular",r2142
"Transport, extracellular",r2143
"Transport, extracellular",r2144
"Transport, extracellular",r2145
"Transport, extracellular",r2147
"Transport, extracellular",r2148
"Transport, extracellular",r2152
"Transport, extracellular",r2154
"Transport, extracellular",r2155
"Transport, extracellular",r2156
"Transport, extracellular",r2157
"Transport, extracellular",r2158
"Transport, extracellular",r2160
"Transport, extracellular",r2161
"Transport, extracellular",r2162
"Transport, extracellular",r2163
"Transport, extracellular",r2168
"Transport, extracellular",r2169
"Transport, extracellular",r2170
"Transport, extracellular",r2171
"Transport, extracellular",r2174
"Transport, extracellular",r2180
"Transport, extracellular",r2181
"Transport, extracellular",r2182
"Transport, extracellular",r2183
"Transport, extracellular",r2184
"Transport, extracellular",r2185
"Transport, extracellular",r2186
"Transport, extracellular",r2187
"Transport, extracellular",r2188
"Transport, extracellular",r2190
"Transport, extracellular",r2194
"Transport, extracellular",r2197
"Transport, extracellular",r2198
"Transport, extracellular",r2200
"Transport, extracellular",r2203
"Transport, extracellular",r2207
"Transport, extracellular",r2208
"Transport, extracellular",r2209
"Transport, extracellular",r2214
"Transport, extracellular",r2216
"Transport, extracellular",r2218
"Transport, extracellular",r2220
"Transport, extracellular",r2221
"Transport, extracellular",r2222
"Transport, extracellular",r2223
"Transport, extracellular",r2224
"Transport, extracellular",r2225
"Transport, extracellular",r2232
"Transport, extracellular",r2234
"Transport, extracellular",r2235
"Transport, extracellular",r2240
"Transport, extracellular",r2241
"Transport, extracellular",r2243
"Transport, extracellular",r2251
"Transport, extracellular",r2252
"Transport, extracellular",r2253
"Transport, extracellular",r2254
"Transport, extracellular",r2259
"Transport, extracellular",r2261
"Transport, extracellular",r2262
"Transport, extracellular",r2263
"Transport, extracellular",r2267
"Transport, extracellular",r2269
"Transport, extracellular",r2270
"Transport, extracellular",r2271
"Transport, extracellular",r2272
"Transport, extracellular",r2274
"Transport, extracellular",r2279
"Transport, extracellular",r2280
"Transport, extracellular",r2281
"Transport, extracellular",r2284
"Transport, extracellular",r2285
"Transport, extracellular",r2286
"Transport, extracellular",r2287
"Transport, extracellular",r2288
"Transport, extracellular",r2290
"Transport, extracellular",r2291
"Transport, extracellular",r2292
"Transport, extracellular",r2295
"Transport, extracellular",r2296
"Transport, extracellular",r2298
"Transport, extracellular",r2302
"Transport, extracellular",r2303
"Transport, extracellular",r2304
"Transport, extracellular",r2305
"Transport, extracellular",r2306
"Transport, extracellular",r2308
"Transport, extracellular",r2311
"Transport, extracellular",r2312
"Transport, extracellular",r2314
"Transport, extracellular",r2316
"Transport, extracellular",r2318
"Transport, extracellular",r2319
"Transport, extracellular",r2320
"Transport, extracellular",r2322
"Transport, extracellular",r2323
"Transport, extracellular",r2326
"Transport, extracellular",r2327
"Transport, extracellular",r2328
"Transport, extracellular",r2329
"Transport, extracellular",r2330
"Transport, extracellular",r2338
Tryptophan metabolism,RE0549C
Fatty acid synthesis,RE0565C
Fatty acid synthesis,RE0566C
Fatty acid synthesis,RE0571C
Fatty acid synthesis,RE0574C
Fatty acid synthesis,RE0576C_1
Fatty acid synthesis,RE0577C
Fatty acid synthesis,RE0578C
Fatty acid synthesis,RE0579C_1
Fatty acid synthesis,RE0581C
Fatty acid synthesis,ECOAR
Urea cycle,RE0688E
Urea cycle,RE0827E
Urea cycle,RE0828E
Tetrahydrobiopterin metabolism,RE0830C
Tetrahydrobiopterin metabolism,RE0830N
Starch and sucrose metabolism,RE0915E
Tyrosine metabolism,RE0916C
Starch and sucrose metabolism,RE0926E
Starch and sucrose metabolism,RE0935E
Miscellaneous,RE0936E
Miscellaneous,RE0937E
Miscellaneous,RE0938E
Starch and sucrose metabolism,RE0944E
Starch and sucrose metabolism,RE0958E
Eicosanoid metabolism,RE1077C_1
Steroid metabolism,RE1096C
Steroid metabolism,RE1099C
Steroid metabolism,STS4r
"Valine, leucine, and isoleucine metabolism",RE1266C_1
Vitamin D metabolism,CYP2R1
Phosphatidylinositol phosphate metabolism,RE1447M_1
Phosphatidylinositol phosphate metabolism,RE1447N_1
Phosphatidylinositol phosphate metabolism,RE1448N_1
Phosphatidylinositol phosphate metabolism,RE1448R_1
Fatty acid oxidation,RE1516M
Arachidonic acid metabolism,RE3038C
Arachidonic acid metabolism,RE3040C
Heme synthesis,RE3051C
Heme synthesis,RE3052C
Fatty acid oxidation,RE3074X
Fatty acid oxidation,RE3082X
Fatty acid oxidation,RE3086X
Tyrosine metabolism,RE3095C
Fatty acid oxidation,RE3106C
Fatty acid oxidation,RE3112C
Fatty acid oxidation,RE3121C
Fatty acid oxidation,RE3132R
Cholesterol metabolism,RE3134C
Cholesterol metabolism,CHLSTD78I
Fatty acid oxidation,RE3151C
Fatty acid oxidation,RE3152C
Fatty acid oxidation,RE3154C
Fatty acid oxidation,RE3157X
Fatty acid oxidation,RE3158X
Fatty acid oxidation,RE3159X
Fatty acid oxidation,RE3160R
Fatty acid oxidation,RE3161C
Fatty acid oxidation,RE3162C
Fatty acid oxidation,RE3163C
Fatty acid oxidation,RE3164C
Fatty acid oxidation,RE3166C
Fatty acid oxidation,RE3167C
Fatty acid oxidation,RE3171C
Fatty acid oxidation,RE3172C
Fatty acid oxidation,RE3173C
Fatty acid oxidation,RE3176C
Fatty acid oxidation,RE3177M
Cholesterol metabolism,RE3181C
Eicosanoid metabolism,RE3430X
Fatty acid oxidation,FAOXC122x
Fatty acid oxidation,FAOXC123C102m
Fatty acid oxidation,FAOXC123x
Fatty acid oxidation,FAOXC120100m
Fatty acid oxidation,FAOXC12C12OHm
Fatty acid oxidation,FAOXC12DCTc
Fatty acid oxidation,FAOXC141C121m
